Segmentation,LeftSpeed,RightSpeed,HeadSpeed,LeftAccel,RightAccel,HeadAccel,RightLeftDist,LeftHeadDist,RightHeadDist
9,0.458,0.269,0.097,0.311,0.17,0.092,13.444,23.962,22.2
4,0.567,0.337,0.082,0.479,0.358,0.096,22.504,26.188,23.463
2,0.686,0.017,0.206,0.471,0.016,0.167,22.599,28.253,22.847
2,0.563,0.015,0.241,0.358,0.015,0.16,15.351,27.119,20.077
9,1.052,0.287,0.319,0.848,0.235,0.239,16.36,28.05,19.659
4,0.348,0.38,0.352,0.283,0.286,0.228,9.992,26.907,23.493
0,0.602,0.054,0.398,0.679,0.061,0.266,12.344,28.023,24.282
2,0.758,0.223,0.154,0.813,0.193,0.149,17.914,28.952,25.565
3,0.539,0.154,0.16,0.481,0.151,0.132,10.659,28.109,25.453
4,0.317,0.06,0.054,0.347,0.059,0.043,8.882,28.219,24.102
0,0.889,0.051,0.104,1.067,0.033,0.062,14.186,28.534,23.895
1,0.564,0.467,0.207,0.435,0.383,0.161,13.708,25.21,21.947
5,0.758,0.449,0.148,0.618,0.398,0.126,15.517,24.451,21.353
3,1.339,0.351,0.261,1.37,0.349,0.242,16.615,24.056,21.577
4,0.686,0.31,0.206,0.524,0.23,0.127,11.834,23.457,19.938
3,0.284,0.287,0.573,0.194,0.214,0.313,12.308,23.22,17.897
4,0.033,0.006,0.102,0.039,0.01,0.084,10.85,16.474,13.367
0,0.028,0.003,0.017,0.035,0.005,0.016,10.823,15.933,12.881
0,0.217,0.004,0.113,0.258,0.008,0.109,9.84,15.48,13.04
5,0.375,0.004,0.17,0.393,0.007,0.129,8.586,16.677,14.288
3,0.06,0.004,0.056,0.067,0.007,0.037,10.041,17.246,13.351
2,0.023,0.002,0.012,0.032,0.004,0.014,9.882,17.229,13.111
0,0.037,0.002,0.008,0.056,0.004,0.01,9.86,17.28,13.111
2,0.035,0.002,0.011,0.047,0.003,0.011,9.719,17.129,13.111
2,0.074,0.002,0.018,0.088,0.003,0.014,9.457,17.023,13.207
2,0.027,0.002,0.011,0.033,0.003,0.011,9.346,17.04,13.246
0,0.034,0.002,0.011,0.044,0.004,0.012,9.278,16.925,13.181
4,0.153,0.003,0.057,0.191,0.004,0.055,9.364,17.397,13.523
1,0.078,0.002,0.027,0.066,0.003,0.021,9.444,17.966,13.935
2,0.045,0.003,0.021,0.05,0.005,0.022,9.345,18.374,14.304
0,0.091,0.003,0.024,0.068,0.006,0.019,9.425,18.49,14.305
4,0.191,0.002,0.071,0.156,0.004,0.065,9.929,18.556,14.085
2,0.031,0.001,0.016,0.038,0.002,0.016,9.855,17.928,13.631
0,0.031,0.002,0.01,0.034,0.003,0.012,9.811,17.784,13.497
3,0.057,0.005,0.03,0.062,0.008,0.027,9.613,17.915,13.616
1,0.059,0.011,0.022,0.069,0.018,0.021,9.499,18.02,13.637
2,0.019,0.002,0.012,0.026,0.004,0.016,9.319,17.55,13.401
0,0.016,0.002,0.008,0.021,0.003,0.01,9.383,17.634,13.373
2,0.071,0.001,0.013,0.086,0.002,0.017,9.392,17.712,13.371
2,0.089,0.003,0.018,0.128,0.004,0.024,9.246,17.577,13.352
3,0.052,0.002,0.013,0.061,0.004,0.014,9.227,17.564,13.338
2,0.031,0.004,0.013,0.046,0.007,0.015,9.248,17.474,13.246
1,0.025,0.003,0.016,0.04,0.005,0.018,9.285,17.527,13.206
0,0.08,0.003,0.02,0.061,0.004,0.018,9.317,17.71,13.298
4,0.141,0.007,0.056,0.088,0.009,0.044,9.747,18.049,13.35
2,0.038,0.003,0.013,0.053,0.005,0.015,9.61,17.505,12.97
3,0.026,0.004,0.021,0.038,0.007,0.022,9.474,17.552,12.963
2,0.035,0.002,0.011,0.037,0.004,0.012,9.389,17.867,13.148
1,0.044,0.003,0.012,0.05,0.006,0.013,9.222,17.832,13.143
3,0.019,0.003,0.012,0.025,0.005,0.013,9.122,17.583,13.001
0,0.055,0.002,0.017,0.051,0.005,0.017,9.098,17.549,12.997
3,0.067,0.004,0.022,0.065,0.005,0.019,8.974,17.904,13.364
0,0.033,0.002,0.009,0.04,0.005,0.011,8.965,18.065,13.453
0,0.031,0.003,0.009,0.032,0.005,0.01,8.994,18.092,13.427
2,0.093,0.003,0.02,0.089,0.005,0.02,8.971,18.019,13.413
5,0.162,0.004,0.057,0.205,0.006,0.056,9.531,18.097,13.255
2,0.03,0.003,0.009,0.03,0.005,0.012,9.384,17.732,13.048
1,0.018,0.002,0.007,0.023,0.004,0.011,9.284,17.722,13.05
2,0.109,0.033,0.03,0.101,0.034,0.026,9.187,17.779,13.181
1,0.05,0.022,0.035,0.065,0.027,0.031,9.406,17.593,13.056
0,0.021,0.003,0.012,0.031,0.006,0.012,9.456,17.362,12.851
0,0.021,0.003,0.01,0.03,0.004,0.014,9.464,17.471,12.862
3,0.058,0.005,0.012,0.085,0.007,0.017,9.3,17.415,12.861
0,0.025,0.002,0.008,0.034,0.004,0.011,9.259,17.419,12.863
1,0.059,0.003,0.009,0.056,0.005,0.01,9.174,17.407,12.911
2,0.034,0.003,0.011,0.042,0.005,0.01,9.14,17.451,12.962
0,0.026,0.002,0.007,0.029,0.005,0.01,9.071,17.405,12.949
2,0.137,0.004,0.024,0.137,0.007,0.028,9.157,17.455,13.001
3,0.12,0.007,0.077,0.114,0.011,0.06,10.125,17.682,12.79
4,0.061,0.003,0.018,0.098,0.006,0.015,10.074,17.156,12.469
0,0.114,0.008,0.029,0.106,0.008,0.02,10.103,17.139,12.584
3,0.223,0.032,0.085,0.149,0.028,0.056,9.966,17.755,13.475
0,0.049,0.013,0.067,0.056,0.014,0.053,9.382,17.683,13.395
0,0.043,0.003,0.016,0.055,0.005,0.015,9.483,17.237,12.988
3,0.049,0.003,0.012,0.068,0.006,0.013,9.373,17.16,12.93
1,0.039,0.003,0.018,0.039,0.005,0.014,9.398,17.419,13.037
2,0.042,0.003,0.03,0.052,0.006,0.03,9.269,17.535,13.161
0,0.029,0.003,0.012,0.048,0.004,0.013,9.265,17.538,13.113
1,0.028,0.002,0.011,0.033,0.004,0.011,9.209,17.564,13.164
3,0.059,0.003,0.057,0.057,0.005,0.05,9.017,18.23,13.749
0,0.013,0.002,0.011,0.02,0.004,0.012,8.961,18.671,14.031
2,0.177,0.003,0.042,0.114,0.006,0.04,9.273,18.55,13.827
3,0.046,0.003,0.073,0.044,0.006,0.067,10.011,17.316,12.52
2,0.08,0.004,0.019,0.064,0.006,0.017,9.725,16.765,12.231
0,0.025,0.004,0.008,0.033,0.007,0.011,9.55,16.712,12.326
0,0.014,0.004,0.017,0.02,0.007,0.014,9.569,16.922,12.416
1,0.025,0.003,0.045,0.04,0.007,0.03,9.555,17.338,12.715
1,0.085,0.005,0.021,0.09,0.007,0.014,9.754,17.653,12.921
1,0.06,0.02,0.019,0.067,0.017,0.013,9.907,17.783,13.049
1,0.062,0.008,0.028,0.076,0.01,0.024,9.949,17.746,12.96
3,0.095,0.025,0.068,0.129,0.024,0.069,9.766,18.286,13.599
0,0.114,0.01,0.041,0.195,0.012,0.028,9.809,18.66,13.91
4,0.095,0.007,0.02,0.108,0.011,0.018,9.51,18.566,13.892
2,0.111,0.027,0.063,0.079,0.027,0.042,9.607,18.766,13.981
6,0.555,0.145,0.38,0.438,0.159,0.235,12.604,22.861,17.261
